#Status,Station,Station,Timestamp,Rainfall last 24hr total
< 2 mm,80709,Ballinatona Water Treatment Plant,2025-02-17T11:45:00.000Z,1
10 - 20 mm,81903,Ballingeary,2025-02-17T11:45:01.000Z,10.2
< 2 mm,80711,Ballydesmond Pump house,2025-02-17T12:00:00.000Z,2
< 2 mm,80722,Ballyguyroe Landfill Site,2025-02-17T12:00:00.000Z,0.4
no rainfall,80707,Ballyhoura Way Water Intake Works,2025-02-17T12:00:00.000Z,
no rainfall,81633,Ballylanders,2025-02-17T12:00:00.000Z,
no rainfall,81610,Ballymacarbry Chip Depot,2025-02-17T10:30:00.000Z,
no rainfall,81202,Ballynagee,2025-02-17T12:00:00.000Z,
no rainfall,81604,Ballyporeen Reservoir,2025-02-17T11:45:00.000Z,
no rainfall,80726,Bartlemy Pump House,2025-02-17T12:00:00.000Z,
< 2 mm,80701,Bottle Hill - Pump House,2025-02-17T12:00:00.000Z,1.4
< 2 mm,80706,Buttevant Pump House,2025-02-17T12:00:00.000Z,0.4
< 2 mm,80702,Bweeng Pump House,2025-02-17T12:00:00.000Z,0.8
no rainfall,81605,Cahir Wastewater Treatment Plant,2025-02-17T11:45:00.000Z,
20 - 30 mm,81601,Cappaghnagarrane Reservoir,2025-02-17T11:45:00.000Z,27
no rainfall,80731,Cappoquin,2025-02-17T12:00:00.000Z,
< 2 mm,80601,Carlingford Fire Station,2025-02-17T12:00:00.000Z,0.4
outdated value,80602,Carlingford Libary,2025-02-10T23:15:01.000Z,3
no rainfall,81623,Cashel Wastewater Treatment Plant,2025-02-17T11:45:00.000Z,
no rainfall,80725,Castlecooke Pump House,2025-02-17T12:00:00.000Z,
no rainfall,81635,Clogheen Wastewater Treatment Plant,2025-02-17T12:00:00.000Z,
no rainfall,81201,Coolcots Reservoir,2025-02-17T11:45:00.000Z,
no rainfall,80728,Coole Pump House,2025-02-17T12:00:00.000Z,
5 - 10 mm,81904,Coolea,2025-02-17T11:45:01.000Z,7.2
2 - 5 mm,81901,Crookstown,2025-02-17T11:45:01.000Z,4.2
no rainfall,81631,Cullen,2025-02-17T11:45:00.000Z,
no rainfall,80719,Doneraile Pump House,2025-02-17T12:00:00.000Z,
2 - 5 mm,80713,Duhallow Way Reservoir,2025-02-17T12:00:00.000Z,4.8
< 2 mm,81630,Dundrum Reservoir,2025-02-17T11:45:00.000Z,0.2
no rainfall,81636,Feddans,2025-02-17T11:45:00.000Z,
< 2 mm,80727,Fermoy Pumphouse,2025-02-17T12:00:00.000Z,0.2
< 2 mm,81608,Fethard Town Reservoir,2025-02-17T11:45:00.000Z,0.2
< 2 mm,80708,Freemount Wastewater Treatment Plant,2025-02-17T12:00:00.000Z,1.2
no rainfall,81606,"Garryduff, Ardfinnan",2025-02-17T11:45:00.000Z,
< 2 mm,81613,Gortnahoe Wastewater Treatment Plant,2025-02-17T11:45:00.000Z,0.2
< 2 mm,80714,Kanturk Wastewater Treatment Plant,2025-02-17T12:00:00.000Z,1.2
